data,total
21/08/2024 09:13,11
21/08/2024 09:18,16.5
21/08/2024 09:21,27.5
21/08/2024 09:21,23.1
21/08/2024 09:29,20.9
21/08/2024 09:29,20.9
21/08/2024 09:40,84.48
21/08/2024 10:08,35.09
21/08/2024 10:41,49.28
21/08/2024 11:06,41
21/08/2024 11:08,51
21/08/2024 11:25,20.9
21/08/2024 11:25,29.7
21/08/2024 12:39,23.1
21/08/2024 12:40,34.1
21/08/2024 12:41,27.5
21/08/2024 12:58,34
21/08/2024 15:53,27.5
21/08/2024 16:27,16.5
21/08/2024 16:38,19.8
21/08/2024 16:38,65.89
21/08/2024 16:48,25.3
21/08/2024 16:49,27.5
21/08/2024 16:49,7.7
21/08/2024 16:56,7.7
21/08/2024 17:16,28.6
21/08/2024 17:16,30.8
21/08/2024 17:19,17.6
21/08/2024 17:38,33
21/08/2024 18:29,40.7
21/08/2024 18:30,75.9
21/08/2024 18:32,68.09
21/08/2024 18:42,25.3
21/08/2024 19:18,28.6
21/08/2024 19:29,39.49
21/08/2024 19:57,58.19
21/08/2024 20:00,39.49
22/08/2024 08:06,23.1
22/08/2024 08:08,14.3
22/08/2024 08:09,48.4
22/08/2024 08:30,8.8
22/08/2024 08:31,35.75
22/08/2024 08:32,45.1
22/08/2024 08:39,37.4
22/08/2024 09:08,30.8
22/08/2024 09:28,31.9
22/08/2024 09:34,17.49
22/08/2024 10:11,12.1
22/08/2024 10:12,11
22/08/2024 10:23,17.6
22/08/2024 10:25,16.5
22/08/2024 10:29,24.2
22/08/2024 10:29,24.2
22/08/2024 10:53,22
22/08/2024 10:55,15.4
22/08/2024 11:04,4.4
22/08/2024 12:39,86
22/08/2024 12:39,20
22/08/2024 12:43,11
22/08/2024 13:22,33
22/08/2024 15:11,35.2
22/08/2024 15:32,39.6
22/08/2024 16:18,35.2
22/08/2024 16:19,15.4
22/08/2024 16:30,51.7
22/08/2024 16:45,83.49
22/08/2024 16:56,50.6
22/08/2024 16:56,25.3
22/08/2024 17:02,24.09
22/08/2024 17:09,36.3
22/08/2024 17:13,25.3
22/08/2024 17:14,30.8
22/08/2024 17:24,61.6
22/08/2024 17:30,46.2
22/08/2024 18:05,40.7
22/08/2024 18:08,52.8
22/08/2024 18:09,67.98
22/08/2024 18:11,8.8
22/08/2024 18:13,133.1
22/08/2024 18:16,72.6
22/08/2024 18:17,92.29
22/08/2024 18:18,37.4
22/08/2024 18:28,48.4
22/08/2024 18:29,13.2
22/08/2024 18:36,77
22/08/2024 18:40,36.3
22/08/2024 18:52,38.5
22/08/2024 18:55,57.2
22/08/2024 19:08,18.7
22/08/2024 19:33,52.8
23/08/2024 07:24,28.49
23/08/2024 08:09,25.3
23/08/2024 08:13,36.3
23/08/2024 08:15,24.2
23/08/2024 08:15,77
23/08/2024 08:23,17.6
23/08/2024 08:24,70.4
23/08/2024 08:37,8.8
23/08/2024 09:01,14.3
23/08/2024 09:15,15.4
23/08/2024 09:18,26.4
23/08/2024 09:18,33
23/08/2024 09:22,16.5
23/08/2024 09:28,91.08
23/08/2024 09:36,18.7
23/08/2024 09:50,64.68
23/08/2024 09:55,65.89
23/08/2024 10:30,16.5
23/08/2024 10:31,16.5
23/08/2024 10:46,14.3
23/08/2024 10:46,14.3
23/08/2024 10:46,19.8
23/08/2024 11:16,6.6
23/08/2024 12:51,23.1
23/08/2024 12:51,13.2
23/08/2024 13:33,68.2
23/08/2024 15:11,7
23/08/2024 16:43,49
23/08/2024 17:06,24
23/08/2024 17:08,33
23/08/2024 17:20,18.7
23/08/2024 17:30,42.79
23/08/2024 17:31,22
23/08/2024 17:33,33
23/08/2024 17:37,16.5
23/08/2024 17:48,14
23/08/2024 17:58,30.8
23/08/2024 17:58,77
23/08/2024 18:00,49.5
23/08/2024 18:02,55
23/08/2024 18:09,19.8
23/08/2024 18:27,77
23/08/2024 18:28,25.3
23/08/2024 18:57,27.5
23/08/2024 19:03,45.1
23/08/2024 19:05,27.5
23/08/2024 19:06,62.7
23/08/2024 19:08,28.6
23/08/2024 19:11,64.9
23/08/2024 19:11,55.99
23/08/2024 19:16,19.8
23/08/2024 19:45,78.1
24/08/2024 07:44,49.5
24/08/2024 07:46,29.7
24/08/2024 07:47,92.29
24/08/2024 07:48,59.29
24/08/2024 07:50,40.48
24/08/2024 07:52,89.1
24/08/2024 08:04,57.09
24/08/2024 08:09,114.62
24/08/2024 08:29,42.79
24/08/2024 08:45,105.27
24/08/2024 08:57,60.39
24/08/2024 08:58,67.1
24/08/2024 08:58,211.09
24/08/2024 09:05,28.6
24/08/2024 09:13,27.5
24/08/2024 09:13,86.57
24/08/2024 09:19,115.5
24/08/2024 09:36,19.8
24/08/2024 09:36,29.7
24/08/2024 09:37,56.1
24/08/2024 09:39,86.9
24/08/2024 09:50,12.1
24/08/2024 09:57,42.9
24/08/2024 10:16,64.9
24/08/2024 10:20,59.4
24/08/2024 10:40,59.4
24/08/2024 10:46,24.2
24/08/2024 10:55,67.1
24/08/2024 11:04,45.1
